age,balance,units,gwa,attendance,study_hours,course_x,course_y,lat,lon,is_scholar,is_paid,is_male,on_probation
19.9,0.0,21.0,2.61,0.815,11.9,1.914,0.861,14.59775,121.11901,1,1,1,0
20.0,0.0,16.0,2.61,0.938,13.1,3.51,3.286,14.68911,121.12222,0,1,0,0
20.6,26746.0,13.0,3.53,0.618,9.5,1.92,0.999,14.53541,121.00779,0,1,0,0
21.8,17030.0,15.0,2.66,0.759,10.5,0.483,1.955,14.52043,121.0156,0,1,0,0
22.0,0.0,12.0,2.55,0.791,10.7,0.634,2.113,14.42586,120.92753,0,1,1,0
20.9,0.0,21.0,2.09,0.886,17.2,3.122,2.703,14.67856,121.06007,0,1,0,0
21.7,2990.0,22.0,2.03,0.99,18.3,0.44,1.991,14.43162,120.98085,0,1,1,0
20.8,4433.0,17.0,2.62,0.801,12.0,1.637,0.549,14.5694,121.07027,0,1,1,1
30.1,7216.0,13.0,2.97,0.732,6.9,0.691,1.956,14.6469,121.12691,0,1,1,0
20.1,0.0,22.0,1.47,0.99,22.7,0.839,2.989,14.54162,121.02947,0,1,0,0
21.1,0.0,19.0,2.35,0.879,13.0,0.714,2.937,14.5868,121.11985,0,1,0,0
21.9,1582.0,20.0,2.01,0.986,16.4,2.088,1.329,14.64019,120.94867,0,0,1,0
22.5,18.0,21.0,2.06,0.956,17.1,0.88,2.863,14.71241,121.11678,0,1,0,0
19.6,1627.0,20.0,1.64,0.939,27.2,1.259,0.528,14.7352,121.13564,0,0,1,0
22.3,1852.0,21.0,2.2,0.864,17.4,0.526,1.817,14.67099,121.1265,0,1,1,0
19.3,2317.0,20.0,2.03,0.969,23.7,2.123,1.285,14.69509,120.96493,0,0,1,0
21.6,2418.0,22.0,1.67,0.99,22.4,1.289,0.495,14.63074,120.98954,0,0,1,0
19.2,0.0,23.0,1.92,0.949,21.7,1.873,0.773,14.69107,121.13713,0,0,1,0
21.4,1260.0,24.0,1.78,0.939,18.8,0.659,2.008,14.55745,121.02132,0,0,0,0
19.4,28090.0,16.0,2.97,0.741,21.6,2.086,1.17,14.39908,121.06303,0,1,1,0
22.5,11485.0,10.0,2.3,0.747,6.4,0.532,3.054,14.72171,121.1216,0,1,1,0
19.9,0.0,20.0,2.13,0.901,24.7,0.39,2.032,14.43091,120.92697,1,1,1,0
22.4,45.0,19.0,2.79,0.913,11.5,0.733,2.75,14.59456,121.06323,0,0,0,1
19.9,3530.0,22.0,1.52,0.88,25.7,2.318,1.155,14.48961,121.04032,0,1,0,0
20.8,0.0,17.0,3.16,0.772,13.6,1.201,0.305,14.71086,121.06647,0,1,0,0
22.2,2326.0,22.0,1.25,0.891,23.8,2.03,0.91,14.5814,121.05229,0,0,1,0
19.1,10078.0,22.0,3.18,0.861,13.3,0.866,2.984,14.64027,120.97415,0,0,0,0
20.4,1071.0,17.0,2.8,0.904,15.2,0.922,3.094,14.58342,120.9688,0,1,0,0
20.6,3977.0,14.0,2.41,0.859,6.7,1.439,0.539,14.67024,120.96862,0,1,1,0
28.0,12917.0,12.0,2.78,0.757,9.8,0.377,2.314,14.59988,121.09572,0,0,0,1
22.7,20805.0,15.0,3.45,0.533,15.3,1.454,0.621,14.39228,121.07716,0,1,1,0
