"province_id","location_name","type","slug","precinct_count","precinct_total","precinct_percentage","voter_count","voter_total","voter_percentage","timestamp"
1,"AGUSAN DEL SUR","PROVINCE","agusan-del-sur",633,633,100.0,357755,446642,80.0988,"2025-05-15T06:41:00.000Z"
2,"AKLAN","PROVINCE","aklan",603,603,100.0,361163,414890,87.0503,"2025-05-15T06:41:00.000Z"
3,"ALBAY","PROVINCE","albay",1326,1326,100.0,840183,940114,89.3703,"2025-05-15T06:41:00.000Z"
4,"APAYAO","PROVINCE","apayao",159,159,100.0,72548,83441,86.9453,"2025-05-15T06:41:00.000Z"
5,"ASIA PACIFIC","PROVINCE","asia-pacific",50,50,100.0,92616,383392,24.157,"2025-05-15T06:41:00.000Z"
6,"BATAAN","PROVINCE","bataan",739,739,100.0,495413,586044,84.5351,"2025-05-15T06:41:00.000Z"
7,"BATANES","PROVINCE","batanes",33,33,100.0,11488,13655,84.1304,"2025-05-15T06:41:00.000Z"
8,"BENGUET","PROVINCE","benguet",444,444,100.0,210927,249729,84.4624,"2025-05-15T06:41:00.000Z"
9,"BUKIDNON","PROVINCE","bukidnon",1349,1349,100.0,861732,995736,86.5422,"2025-05-15T06:41:00.000Z"
10,"CAGAYAN","PROVINCE","cagayan",1201,1201,100.0,674064,785994,85.7594,"2025-05-15T06:41:00.000Z"
11,"CAMARINES NORTE","PROVINCE","camarines-norte",538,538,100.0,338181,396583,85.2737,"2025-05-15T06:41:00.000Z"
12,"CAMARINES SUR","PROVINCE","camarines-sur",1780,1780,100.0,1034614,1222289,84.6456,"2025-05-15T06:41:00.000Z"
13,"CAPIZ","PROVINCE","capiz",773,773,100.0,463886,539459,85.991,"2025-05-15T06:41:00.000Z"
14,"CATANDUANES","PROVINCE","catanduanes",365,365,100.0,173897,200804,86.6004,"2025-05-15T06:41:00.000Z"
15,"CAVITE","PROVINCE","cavite",2991,2991,100.0,1923752,2447362,78.6051,"2025-05-15T06:41:00.000Z"
16,"COTABATO","PROVINCE","cotabato",1073,1073,100.0,674841,797609,84.608,"2025-05-15T06:41:00.000Z"
17,"DAVAO DE ORO","PROVINCE","davao-de-oro",703,703,100.0,490629,548390,89.4672,"2025-05-15T06:41:00.000Z"
18,"DAVAO DEL SUR","PROVINCE","davao-del-sur",601,601,100.0,381139,465227,81.9254,"2025-05-15T06:41:00.000Z"
19,"DAVAO OCCIDENTAL","PROVINCE","davao-occidental",275,275,100.0,151376,205167,73.7818,"2025-05-15T06:41:00.000Z"
20,"DAVAO ORIENTAL","PROVINCE","davao-oriental",555,555,100.0,376419,433645,86.8035,"2025-05-15T06:41:00.000Z"
21,"GUIMARAS","PROVINCE","guimaras",177,177,100.0,109148,124930,87.3673,"2025-05-15T06:41:00.000Z"
22,"IFUGAO","PROVINCE","ifugao",258,258,100.0,117835,136318,86.4413,"2025-05-15T06:41:00.000Z"
23,"ILOCOS NORTE","PROVINCE","ilocos-norte",706,706,100.0,387957,436087,88.9632,"2025-05-15T06:41:00.000Z"
24,"ILOCOS SUR","PROVINCE","ilocos-sur",922,922,100.0,432555,487233,88.7779,"2025-05-15T06:41:00.000Z"
25,"ILOILO","PROVINCE","iloilo",2271,2271,100.0,1135709,1319109,86.0967,"2025-05-15T06:41:00.000Z"
26,"KALINGA","PROVINCE","kalinga",272,272,100.0,140554,158555,88.6468,"2025-05-15T06:41:00.000Z"
27,"LAV","PROVINCE","lav",100,100,100.0,52067,100000,52.067,"2025-05-15T06:41:00.000Z"
28,"MARINDUQUE","PROVINCE","marinduque",281,281,100.0,142016,165436,85.8435,"2025-05-15T06:41:00.000Z"
29,"MISAMIS ORIENTAL","PROVINCE","misamis-oriental",970,970,100.0,607346,691602,87.8173,"2025-05-15T06:41:00.000Z"
30,"NEGROS OCCIDENTAL","PROVINCE","negros-occidental",2086,2086,100.0,1369632,1645852,83.2172,"2025-05-15T06:41:00.000Z"
31,"NORTH AND LATIN AMERICAS","PROVINCE","north-and-latin-americas",57,57,100.0,18640,259415,7.1854,"2025-05-15T06:41:00.000Z"
32,"OCCIDENTAL MINDORO","PROVINCE","occidental-mindoro",442,442,100.0,256034,321699,79.5881,"2025-05-15T06:41:00.000Z"
33,"ORIENTAL MINDORO","PROVINCE","oriental-mindoro",812,812,100.0,465934,569601,81.8001,"2025-05-15T06:41:00.000Z"
34,"PALAWAN","PROVINCE","palawan",859,859,100.0,508344,605940,83.8935,"2025-05-15T06:41:00.000Z"
35,"PAMPANGA","PROVINCE","pampanga",1817,1817,100.0,1250291,1463014,85.4599,"2025-05-15T06:41:00.000Z"
36,"QUIRINO","PROVINCE","quirino",202,202,100.0,112310,130307,86.1888,"2025-05-15T06:41:00.000Z"
37,"RIZAL","PROVINCE","rizal",1953,1953,100.0,1275452,1671643,76.2993,"2025-05-15T06:41:00.000Z"
38,"SAMAR","PROVINCE","samar",1177,1177,100.0,503239,625543,80.4483,"2025-05-15T06:41:00.000Z"
39,"SARANGANI","PROVINCE","sarangani",490,490,100.0,284653,373178,76.2781,"2025-05-15T06:41:00.000Z"
40,"SORSOGON","PROVINCE","sorsogon",840,840,100.0,475331,553240,85.9177,"2025-05-15T06:41:00.000Z"
41,"SOUTHERN LEYTE","PROVINCE","southern-leyte",600,600,100.0,266743,300005,88.9129,"2025-05-15T06:41:00.000Z"
42,"SURIGAO DEL NORTE","PROVINCE","surigao-del-norte",592,592,100.0,361860,407056,88.8969,"2025-05-15T06:41:00.000Z"
43,"ZAMBOANGA DEL SUR","PROVINCE","zamboanga-del-sur",1061,1061,100.0,602983,712955,84.5752,"2025-05-15T06:41:00.000Z"
44,"CITY OF BACOLOD","INDEPENDENT_CITY","city-of-bacolod",398,398,100.0,309413,355880,86.9431,"2025-05-15T06:41:00.000Z"
45,"CITY OF BAGUIO","INDEPENDENT_CITY","city-of-baguio",232,232,100.0,132141,166416,79.404,"2025-05-15T06:41:00.000Z"
46,"CITY OF BUTUAN","INDEPENDENT_CITY","city-of-butuan",273,273,100.0,180745,220694,81.8985,"2025-05-15T06:41:00.000Z"
47,"CITY OF CEBU","INDEPENDENT_CITY","city-of-cebu",790,790,100.0,609789,721469,84.5205,"2025-05-15T06:41:00.000Z"
48,"CITY OF COTABATO","INDEPENDENT_CITY","city-of-cotabato",159,159,100.0,89673,135999,65.9365,"2025-05-15T06:41:00.000Z"
49,"CITY OF DAGUPAN","INDEPENDENT_CITY","city-of-dagupan",163,163,100.0,126442,144481,87.5146,"2025-05-15T06:41:00.000Z"
50,"CITY OF DAVAO","INDEPENDENT_CITY","city-of-davao",1173,1173,100.0,777237,1006592,77.2147,"2025-05-15T06:41:00.000Z"
51,"CITY OF GENERAL SANTOS","INDEPENDENT_CITY","city-of-general-santos",425,425,100.0,282996,368454,76.8063,"2025-05-15T06:41:00.000Z"
52,"CITY OF LAPU-LAPU","INDEPENDENT_CITY","city-of-lapu-lapu",302,302,100.0,236317,277288,85.2244,"2025-05-15T06:41:00.000Z"
53,"CITY OF LAS PIÑAS","INDEPENDENT_CITY","city-of-las-piñas",365,365,100.0,255455,318542,80.1951,"2025-05-15T06:41:00.000Z"
54,"CITY OF MAKATI","INDEPENDENT_CITY","city-of-makati",300,300,100.0,210052,270240,77.7279,"2025-05-15T06:41:00.000Z"
